Province,Year,Number of Rooms
Central Province,2019,1548.0
Eastern Province,2019,1201.0
North Central Province,2019,4462.0
North Western Province,2019,0.0
Northern Province,2019,235.0
Sabaragamuwa Province,2019,0.0
Southern Province,2019,8695.0
Uva Province,2019,0.0
Western Province,2019,8690.0
Central Province,2020,7274.0
Eastern Province,2020,2340.0
North Central Province,2020,1979.0
North Western Province,2020,1639.0
Northern Province,2020,753.0
Sabaragamuwa Province,2020,970.0
Southern Province,2020,9950.0
Uva Province,2020,2028.0
Western Province,2020,15817.0
Central Province,2021,7991.0
Eastern Province,2021,2432.0
North Central Province,2021,2302.0
North Western Province,2021,1834.0
Northern Province,2021,777.0
Sabaragamuwa Province,2021,1037.0
Southern Province,2021,12094.0
Uva Province,2021,2381.0
Western Province,2021,16489.0
Central Province,2022,8021.0
Eastern Province,2022,2314.0
North Central Province,2022,2158.0
North Western Province,2022,1884.0
Northern Province,2022,786.0
Sabaragamuwa Province,2022,1025.0
Southern Province,2022,12514.0
Uva Province,2022,2590.0
Western Province,2022,16828.0
Central Province,2023,8816.0
Eastern Province,2023,2552.0
North Central Province,2023,2353.0
North Western Province,2023,2149.0
Northern Province,2023,955.0
Sabaragamuwa Province,2023,1372.0
Southern Province,2023,14144.0
Uva Province,2023,2793.0
Western Province,2023,18095.0
Central Province,2024,8995.0
Eastern Province,2024,2620.0
North Central Province,2024,2424.0
North Western Province,2024,2138.0
Northern Province,2024,1063.0
Sabaragamuwa Province,2024,1455.0
Southern Province,2024,14122.0
Uva Province,2024,2869.0
Western Province,2024,19769.0
