Month,Number of tourist arrivals,Year
January,244239,2019
February,252033,2019
March,244328,2019
April,166975,2019
May,37802,2019
June,63072,2019
July,115701,2019
August,143587,2019
September,108575,2019
October,118743,2019
November,176984,2019
December,241663,2019
January,228434,2020
February,207507,2020
March,71370,2020
April,0,2020
May,0,2020
June,0,2020
July,0,2020
August,0,2020
September,0,2020
October,0,2020
November,0,2020
December,393,2020
January,1682,2021
February,3366,2021
March,4581,2021
April,4168,2021
May,1497,2021
June,1614,2021
July,2429,2021
August,5040,2021
September,13547,2021
October,22771,2021
November,44294,2021
December,89506,2021
January,82327,2022
February,96507,2022
March,106500,2022
April,62980,2022
May,30207,2022
June,32856,2022
July,47293,2022
August,37760,2022
September,29802,2022
October,42026,2022
November,59759,2022
December,91961,2022
January,102545,2023
February,107639,2023
March,125495,2023
April,105498,2023
May,83309,2023
June,100388,2023
July,143039,2023
August,136405,2023
September,111938,2023
October,109199,2023
November,151496,2023
December,210352,2023
January,208253,2024
February,218350,2024
March,209181,2024
April,148867,2024
May,112128,2024
June,113470,2024
July,187810,2024
August,164609,2024
September,122140,2024
October,135907,2024
November,184158,2024
December,248592,2024
